Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
George Gervin,SAS,78,37.6,2,3.2,5.2,2.6,1.4,1,3.3,2.7,33.1,1980
World B. Free,SDC,68,38,1.9,1.6,3.5,4.2,1.2,0.5,3.4,2.9,30.2,1980
Adrian Dantley,UTA,68,39.3,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28,1980
Julius Erving,PHI,78,36.1,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9,1980
Moses Malone,HOU,82,38.3,7,7.5,14.5,1.8,1,1.3,3.7,2.6,25.8,1980
Kareem Abdul-Jabbar,LAL,82,38.3,2.3,8.5,10.8,4.5,1,3.4,3.6,2.6,24.8,1980
Dan Issel,DEN,82,35.8,2.9,5.9,8.8,2.4,1.1,0.7,2,2.3,23.8,1980
Elvin Hayes,WAS,81,39.3,3.3,7.7,11.1,1.6,0.8,2.3,2.7,3.8,23,1980
Otis Birdsong,KCK,82,35.2,2.1,2,4,2.5,1.7,0.3,2.2,2.8,22.7,1980
Mike Mitchell,CLE,82,34.2,2.5,4.7,7.2,1.1,0.9,0.9,2.1,3.2,22.2,1980
Gus Williams,SEA,82,36.2,1.5,1.8,3.4,4.8,2.4,0.5,2.2,2,22.1,1980
Paul Westphal,PHX,82,32.5,0.6,1.7,2.3,5.1,1.5,0.4,2.5,2,21.9,1980
Bill Cartwright,NYK,82,38.4,2.4,6.5,8.9,2,0.6,1.2,2.7,3.4,21.7,1980
Marques Johnson,MIL,77,34.9,2.8,4.5,7.4,3.5,1.3,0.9,2.4,2.2,21.7,1980
Walter Davis,PHX,75,30.8,1,2.6,3.6,4.5,1.5,0.3,3.2,2.7,21.5,1980
Larry Bird,BOS,82,36,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,1980
Mike Newlin,NJN,78,32.2,1.3,2.1,3.4,4,1.5,0.1,3,2.5,20.9,1980
Ray Williams,NYK,82,31.5,1.8,3.2,5,6.2,2,0.3,3.1,3.6,20.9,1980
Reggie Theus,CHI,82,36.9,1.7,2.3,4,6.3,1.4,0.2,4.2,3.2,20.2,1980
Larry Kenon,SAS,78,35.9,3.3,6.6,9.9,3,1.4,0.2,3,2.5,20.1,1980
Jamaal Wilkes,LAL,82,37.9,2.1,4.3,6.4,3,1.6,0.3,1.9,2.7,20,1980
Calvin Murphy,HOU,76,35.2,0.9,1.1,2,3.9,1.9,0.1,2.1,3.5,20,1980
Calvin Natt,POR,78,36.6,3.1,5.8,8.9,2.2,1.3,0.4,2.5,2.6,19.9,1980
John Drew,ATL,80,28.8,2.5,3.4,5.9,1.3,1.1,0.3,3,3.9,19.5,1980
Bob Lanier,MIL,63,33.8,2.4,6.3,8.8,2.9,1.2,1.4,2.6,3.2,19.2,1980
Toby Knight,NYK,81,36.4,2.5,3.6,6.1,1.9,1.4,1.1,2,3.7,19.1,1980
Mickey Johnson,IND,82,32.3,3.1,5.2,8.3,4.2,1.9,1.4,3.5,3.5,19.1,1980
Dennis Johnson,SEA,81,36.3,2.1,3,5.1,4.1,1.8,1,2.8,3.3,19,1980
Freeman Williams,SDC,82,25.8,1.3,1.1,2.3,2,0.9,0.1,2.1,1.8,18.6,1980
"Eddie Johnson, Jr.",ATL,79,33.2,1.2,1.3,2.5,4.7,1.5,0.3,2.4,2.7,18.5,1980
Magic Johnson,LAL,77,36.3,2.2,5.6,7.7,7.3,2.4,0.5,4,2.8,18,1980
James Silas,SAS,77,29.8,0.6,1.6,2.2,4.5,0.8,0.2,2.5,2.7,17.7,1980
Norm Nixon,LAL,82,39.3,0.6,2.2,2.8,7.8,1.8,0.2,3.5,2.9,17.6,1980
Randy Smith,CLE,82,32.6,1.1,2,3.1,4.4,1.5,0.1,2.4,2.3,17.6,1980
Junior Bridgeman,MIL,81,28.6,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6,1980
Truck Robinson,PHX,82,33,2.6,6.8,9.4,1.7,0.7,0.7,3.1,3.2,17.3,1980
Robert Parish,GSW,72,29.4,3.4,7.4,10.9,1.7,0.8,1.6,3.1,3.4,17,1980
Alex English,DEN,78,30.8,3.4,4.3,7.8,2.9,0.9,0.8,2.7,2.6,16.9,1980
Cedric Maxwell,BOS,80,34.3,3.5,5.2,8.8,2.5,0.9,0.8,2.9,3.3,16.9,1980
Dan Roundfield,ATL,81,32,3.6,6.7,10.3,2.3,1.2,1.7,2.9,3.9,16.5,1980
Tom Owens,POR,76,30.8,2.5,5.1,7.5,2.6,0.6,0.7,2.3,3.6,16.4,1980
David Greenwood,CHI,82,34,2.7,6.7,9.4,2.2,0.7,1.6,2.6,3.8,16.3,1980
Phil Ford,KCK,82,32,0.4,1.7,2.1,7.4,1.7,0,3.4,2.5,16.2,1980
Brian Winters,MIL,80,32.8,0.6,2.2,2.8,4.5,1.3,0.3,2.3,2.6,16.1,1980
Johnny Davis,IND,82,35.5,1.2,1.5,2.8,5.4,1.3,0.3,2.5,2.2,15.9,1980
James Edwards,IND,82,28.2,2.2,4.9,7,1.5,0.7,1.3,1.6,4,15.7,1980
Ron Brewer,POR,82,34.3,0.7,2,2.6,2.6,1.2,0.6,2,1.9,15.7,1980
Greg Ballard,WAS,82,29.7,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6,1980
Dave Robisch,CLE,82,32.6,2.7,5.3,8,2.3,0.6,0.6,1.7,2.6,15.3,1980
Micheal Ray Richardson,NYK,82,37.3,1.8,4.7,6.6,10.1,3.2,0.4,4.4,3.2,15.3,1980
Alvan Adams,PHX,75,28.9,2.1,6,8.1,4.3,1.4,0.7,2.9,3.2,14.9,1980
Darryl Dawkins,PHI,80,31.8,2.5,6.2,8.7,1.9,0.6,1.8,2.9,4.1,14.7,1980
George McGinnis,IND,73,30.2,3,6.5,9.6,4.6,1.4,0.3,3.8,4.2,14.7,1980
Sonny Parker,GSW,82,34.7,2,3.6,5.7,3.1,2.1,0.4,2,2.4,14.7,1980
Maurice Lucas,NJN,63,29.9,2.3,6.3,8.5,3.3,0.7,1,3.5,3.5,14.7,1980
John Williamson,WAS,58,23.7,0.7,1.1,1.7,2.2,0.6,0.3,1.6,2.4,14.6,1980
Jack Sikma,SEA,82,34.1,2.4,8.7,11.1,3.4,0.8,0.9,2.5,2.8,14.3,1980
Ricky Sobers,CHI,82,32.6,0.9,2,3,5.2,1.7,0.2,3.4,3.6,14.2,1980
Tiny Archibald,BOS,80,35.8,0.7,1.7,2.5,8.4,1.3,0.1,3,2.7,14.1,1980
Terry Furlow,UTA,76,27.9,0.9,1.6,2.6,3.9,1,0.3,2.1,1.3,13.9,1980
Bob Wilkerson,DEN,75,31.7,1.1,3.1,4.2,3.2,1.2,0.4,2.6,2.6,13.8,1980
Pete Maravich,BOS,43,22.4,0.4,1.4,1.8,1.9,0.6,0.1,1.9,1.8,13.7,1980
Lonnie Shelton,SEA,76,29.5,2.6,5,7.7,1.9,1.2,1,2.2,3.8,13.6,1980
Cliff Robinson,NJN,70,23.7,2.5,4.7,7.2,1.4,0.9,0.5,2,2.5,13.6,1980
Brian Taylor,SDC,78,35.3,1,1.4,2.4,4.3,1.9,0.3,1.8,3.2,13.5,1980
Kermit Washington,POR,80,33.2,4.1,6.5,10.5,2.1,0.9,1.6,2.1,3.8,13.4,1980
Swen Nater,SDC,81,35.3,4.3,10.7,15,2.9,0.6,0.5,3.2,3.2,13.4,1980
Eddie Jordan,NJN,82,32.4,0.8,2.5,3.3,6.8,2.7,0.3,3.1,2.9,13.3,1980
Billy Knight,IND,75,25.5,1.8,3,4.8,2.1,1.1,0.1,1.8,1.3,13.1,1980
Robert Reid,HOU,76,30.3,1.8,4,5.8,3.2,1.7,0.8,2.2,3.7,13,1980
Bobby Jones,PHI,81,26.2,1.9,3.7,5.6,1.8,1.3,1.5,1.8,2.8,13,1980
John Lucas,GSW,80,34.5,0.8,2,2.8,7.5,1.7,0,2.3,2.5,12.6,1980
Ron Boone,UTA,81,29.5,0.7,2.1,2.8,3.8,1.2,0,2.4,2.9,12.4,1980
Terry Tyler,DET,82,32.6,2.8,4.9,7.6,1.6,1.3,2.7,2.1,2.9,12.3,1980
Dave Meyers,MIL,79,27.9,1.8,3.9,5.7,2.8,0.9,0.5,2.3,2.8,12.1,1980
Rick Barry,HOU,72,25.2,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12,1980
Fred Brown,SEA,80,21.3,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12,1980
Austin Carr,CLE,77,20.7,1.1,1.1,2.1,1.9,0.5,0,1.4,1.6,11.8,1980
Mike Bantom,IND,77,30.3,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8,1980
Kenny Carr,CLE,79,23.3,2.5,4.9,7.4,1,0.8,0.7,1.9,3.1,11.8,1980
Allan Bristow,UTA,82,28.1,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6,1980
Steve Mix,PHI,81,19,1.4,2.2,3.6,1.8,0.8,0.1,1.6,1.4,11.6,1980
Rick Robey,BOS,82,23.4,2.5,3.9,6.5,1.1,0.6,0.2,1.8,3,11.5,1980
Bingo Smith,SDC,78,27.2,1.2,2.1,3.3,1.3,0.8,0.2,1,2.7,11.4,1980
Tom Boswell,UTA,79,26.3,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4,1980
Bill Robinzine,KCK,81,23.7,2.3,4.2,6.5,0.8,1.3,0.3,1.8,3.8,11.4,1980
Mo Cheeks,PHI,79,33.2,0.9,2.5,3.5,7,2.3,0.4,2.7,2.5,11.4,1980
John Roche,DEN,82,27.9,0.3,1.1,1.4,4.9,1,0.1,1.9,1.7,11.4,1980
John Johnson,SEA,81,31.3,2,3.2,5.3,5.2,0.9,0.4,3,2.6,11.3,1980
Roger Phegley,NJN,78,19.4,1,1.4,2.4,1.3,0.4,0.1,1.5,2,11.3,1980
Lionel Hollins,PHI,47,25.7,0.6,1.3,1.9,3.4,1.6,0.2,2.7,2.2,11.2,1980
Chris Ford,BOS,73,29,1.1,1.4,2.5,2.9,1.5,0.4,1.4,2.4,11.2,1980
M.L. Carr,BOS,82,24.3,1.3,2.7,4,1.9,1.5,0.4,1.7,2.6,11.1,1980
Wayne Cooper,GSW,79,22.5,2.6,3.9,6.4,0.5,0.3,1,1.8,3.1,11,1980
Allen Leavell,HOU,77,27.6,0.7,1.6,2.4,5.4,1.6,0.4,2.7,2.6,10.9,1980
Kevin Restani,SAS,82,24,1.7,3,4.7,2.3,0.7,0.1,1.6,2.3,10.7,1980
